axialTopBlockRadius, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
30, 1.0, 6, no_regularization, -0.0125216533057, 0.000795076680462, 15.7489882591, 0.0065505183228, 0.00569369962755, 1.15048540515
30, 1.0, 7, no_regularization, -0.0123159141499, 0.00123116384673, 10.0034728786, 0.00427850918374, 0.0245018900832, 0.174619556663
30, 1.0, 8, no_regularization, -0.0120944677802, 0.00117344180479, 10.3068322016, 0.0058356828678, 0.00543217726492, 1.07428063983
30, 1.0, 9, no_regularization, -0.011927481131, 0.000773378807978, 15.4225600805, 0.00550939403553, 0.00627021763238, 0.878660735328
30, 1.0, 10, no_regularization, -0.0120764517009, 0.00154369393079, 7.82308685684, 0.00620825719898, 0.00675435651793, 0.919148579513
30, 1.0, 6, regularization, -0.012481874552, 0.00100131412109, 12.4654933842, 0.00582470293417, 0.00234522952086, 2.4836387579
30, 1.0, 7, regularization, -0.0123195545955, 0.00123908446727, 9.94246552263, 0.00563849577057, 0.00316754163605, 1.78008576317
30, 1.0, 8, regularization, -0.0120814434196, 0.0012179787576, 9.91925626311, 0.00574878026566, 0.00240888460311, 2.38649051857
30, 1.0, 9, regularization, -0.0119534484143, 0.0010399869592, 11.4938445223, 0.00560914300935, 0.00251796064627, 2.22765316751
30, 1.0, 10, regularization, -0.0120881729846, 0.001368256862, 8.83472491187, 0.00586734835932, 0.00250400184839, 2.34318850966
22, 3.0, 6, no_regularization, -0.034748750072, 0.0015157337881, 22.9253648265, 0.00332009144534, 0.0756247112822, 0.0439022032488
22, 3.0, 7, no_regularization, -0.0344157635386, 0.00198326668481, 17.3530689555, 0.00244680316675, 0.077686118627, 0.0314960151182
22, 3.0, 8, no_regularization, -0.0345491605929, 0.00253132309051, 13.6486569899, 0.0108373649339, 0.0532377571298, 0.203565392649
22, 3.0, 9, no_regularization, -0.0343746277892, 0.0015766941144, 21.8017099672, 0.00305924845361, 0.0751004628437, 0.0407354141076
22, 3.0, 10, no_regularization, -0.0349255845695, 0.00332021033208, 10.5190879723, 0.0120411536901, 0.0490508999023, 0.245482829347
22, 3.0, 6, regularization, -0.034728452849, 0.00214103821782, 16.2203797018, 0.0170745295836, 0.00429228360431, 3.97795932368
22, 3.0, 7, regularization, -0.0344131732954, 0.0024397224776, 14.1053638728, 0.0171694830618, 0.00434942083937, 3.94753317646
22, 3.0, 8, regularization, -0.0345293103646, 0.00258151534192, 13.3755975817, 0.0174826864258, 0.00515633992429, 3.39052247961
22, 3.0, 9, regularization, -0.0344067559688, 0.00224667507456, 15.3145224952, 0.0172529458401, 0.00470427591578, 3.6675029588
22, 3.0, 10, regularization, -0.0349470332335, 0.00302750630006, 11.5431744049, 0.0173544686765, 0.00569421304282, 3.04773786052
30, 11.0, 6, no_regularization, -0.00812653341896, 0.368948481068, 0.0220262010442, -0.183834854736, 0.803219190095, 0.22887258796
30, 11.0, 7, no_regularization, 0.0211075343525, 0.438848596187, 0.0480975318959, -0.0868479784525, 0.503527375988, 0.172479159216
30, 11.0, 8, no_regularization, 0.00818723598134, 0.475811044379, 0.0172069061407, -0.0341624694729, 0.516235981619, 0.0661760719695
30, 11.0, 9, no_regularization, -0.0383933914149, 0.348197566056, 0.110263238913, -0.0721146339644, 0.410321348366, 0.175751601157
30, 11.0, 10, no_regularization, -0.0388368916136, 0.333586820175, 0.116422140399, -0.0638081447686, 0.396551880331, 0.160907432125
30, 11.0, 6, regularization, 0.0632646544571, 0.318485435952, 0.198642221325, 0.00692475242782, 0.686325543743, 0.0100896032371
30, 11.0, 7, regularization, 0.056727639558, 0.318611525673, 0.178046413852, -0.063850841662, 0.50288140773, 0.126969978768
30, 11.0, 8, regularization, -0.0253554920403, 0.373147964965, 0.0679502353515, -0.0549335897855, 0.520647563593, 0.105510125518
30, 11.0, 9, regularization, -0.0666029587033, 0.433948549641, 0.153481233566, -0.00771060511359, 0.390034035948, 0.0197690570641
30, 11.0, 10, regularization, -0.0361817044496, 0.249928014733, 0.144768502595, -0.0700405879976, 0.336963081574, 0.207858343622
32, 3.0, 6, no_regularization, -0.0347483272113, 0.00151794807259, 22.8916442129, 0.00426121702542, 0.0727374471984, 0.0585835383224
32, 3.0, 7, no_regularization, -0.0344152601002, 0.00198118299826, 17.3710657372, 0.00259815628278, 0.0770058054522, 0.0337397455624
32, 3.0, 8, no_regularization, -0.0345493603658, 0.00252043174142, 13.7077151497, 0.00849322148301, 0.0613668059274, 0.138400905093
32, 3.0, 9, no_regularization, -0.0343756051893, 0.00156936723632, 21.904118038, 0.00351938368674, 0.073055570363, 0.0481740635143
32, 3.0, 10, no_regularization, -0.0349199251081, 0.00334354265626, 10.4439897133, 0.00891504220412, 0.0609755255248, 0.146206894117
32, 3.0, 6, regularization, -0.0347277297097, 0.00214679708181, 16.1765310769, 0.0170625333029, 0.00435465101677, 3.91823207812
32, 3.0, 7, regularization, -0.0344119471546, 0.00244042492965, 14.1008013549, 0.0171250259695, 0.00433212621204, 3.95303025151
32, 3.0, 8, regularization, -0.0345286026526, 0.00256502890089, 13.4612918555, 0.0174400210567, 0.00531181032512, 3.28325372882
32, 3.0, 9, regularization, -0.0344063268866, 0.00224200165742, 15.3462539926, 0.0171665334435, 0.00491501861214, 3.49266906154
32, 3.0, 10, regularization, -0.0349431722173, 0.00303799975951, 11.5020325818, 0.0174882045033, 0.00531812621946, 3.28841471256
32, 5.0, 6, no_regularization, -0.0556671895239, 0.00231119511683, 24.0858892087, 0.0144518923164, 0.0783312221507, 0.184497214771
32, 5.0, 7, no_regularization, -0.0549409147105, 0.0254627590266, 2.15769684083, 0.0161905452733, 0.0902808417917, 0.179335337952
32, 5.0, 8, no_regularization, -0.0557109115596, 0.0348006496711, 1.60085837724, 0.016609246811, 0.0833146721909, 0.199355604172
32, 5.0, 9, no_regularization, -0.0563935895119, 0.00238803838559, 23.6150263966, 0.0163491028996, 0.0765925937436, 0.213455402154
32, 5.0, 10, no_regularization, -0.0526108617, 0.108860073063, 0.48328887001, 0.0165358588106, 0.133808760544, 0.12357829744
32, 5.0, 6, regularization, -0.0556747141257, 0.0018564036055, 29.990630249, 0.0287536461938, 0.00646633946408, 4.44666512693
32, 5.0, 7, regularization, -0.0505658624885, 0.0618030601714, 0.818177325657, 0.0280746077432, 0.122755815577, 0.228702873353
32, 5.0, 8, regularization, -0.059081739735, 0.0364396411027, 1.62135899112, 0.028634785599, 0.0349391089544, 0.81956256058
32, 5.0, 9, regularization, -0.0564019305648, 0.00201626926978, 27.9734117908, 0.0290059740953, 0.00677249903887, 4.28290560527
32, 5.0, 10, regularization, -0.0529984331798, 0.0482825413993, 1.09767281597, 0.0298740264192, 0.0752738450811, 0.396871268992
20, 9.0, 6, no_regularization, 0.0120949848219, 0.388242583648, 0.0311531638499, 0.0111880283282, 0.838419670274, 0.0133441863602
20, 9.0, 7, no_regularization, 0.00471686919151, 0.389030216413, 0.0121246859305, 0.01354572151, 0.460629209787, 0.0294069963915
20, 9.0, 8, no_regularization, -0.0260538019658, 0.359959864391, 0.0723797415856, -0.0847233408882, 0.436564426087, 0.194068356983
20, 9.0, 9, no_regularization, -0.0623573992739, 0.243756884071, 0.255818002891, -0.0897396684978, 0.408773604163, 0.219533912131
20, 9.0, 10, no_regularization, -0.00637427912871, 0.44532764047, 0.0143136840147, 0.00801067935211, 0.577968354331, 0.0138600656802
20, 9.0, 6, regularization, 0.0137242721216, 0.281467103195, 0.0487597732231, -0.0489962215086, 0.826351514367, 0.0592922269236
20, 9.0, 7, regularization, 0.00716281336091, 0.21977694665, 0.0325912861657, 0.0352901143514, 0.340120190175, 0.103757775548
20, 9.0, 8, regularization, -0.0613666437874, 0.220098409032, 0.278814572342, -0.0235998849338, 0.351554678657, 0.0671300550571
20, 9.0, 9, regularization, -0.0449651335118, 0.220437265283, 0.203981543021, -0.0979259829413, 0.44463729076, 0.220237899466
20, 9.0, 10, regularization, -0.0142657807673, 0.285783287071, 0.0499181772088, 0.0141226069245, 0.561538580945, 0.0251498425998
16, 9.0, 6, no_regularization, 0.0123246427724, 0.372208151051, 0.033112232329, 0.0153698597508, 0.49302258683, 0.0311747578333
16, 9.0, 7, no_regularization, 0.00468009513734, 0.375475734119, 0.0124644410066, -0.201894302318, 0.715649854748, 0.282113244317
16, 9.0, 8, no_regularization, -0.0115382168091, 0.333342332135, 0.0346137159813, 0.035789552487, 0.39910973438, 0.0896734642231
16, 9.0, 9, no_regularization, -0.0112222582739, 0.459193161621, 0.0244390796985, -0.0406794742103, 0.577838270616, 0.070399411529
16, 9.0, 10, no_regularization, -0.00527270083597, 0.332701878008, 0.015848124656, -0.0124211662891, 0.38969005408, 0.031874476033
16, 9.0, 6, regularization, 0.0125445894217, 0.256281498063, 0.0489484785931, 0.0205268779889, 0.450312224359, 0.045583657024
16, 9.0, 7, regularization, 0.000608785739576, 0.24382241251, 0.00249684076746, -0.176142406491, 0.666503562808, 0.264278266944
16, 9.0, 8, regularization, -0.0237920936602, 0.248003630079, 0.0959344573006, 0.0646584341257, 0.390036810195, 0.16577521002
16, 9.0, 9, regularization, -0.00638237861997, 0.490239773665, 0.0130188919032, 0.0199612269878, 0.557080732703, 0.0358318387551
16, 9.0, 10, regularization, -0.00210436847689, 0.284350070187, 0.00740062583951, -0.00890361286972, 0.449272818183, 0.0198178311916
14, 5.0, 6, no_regularization, -0.0375905299589, 0.142205089165, 0.264340258, 0.00903488342285, 0.128778286727, 0.0701584378276
14, 5.0, 7, no_regularization, -0.0421320663578, 0.110352768971, 0.381794374086, 0.00790358988275, 0.129137966182, 0.0612026820339
14, 5.0, 8, no_regularization, -0.055714227415, 0.0348016745388, 1.6009065125, 0.0153418299262, 0.0843844771557, 0.181808674335
14, 5.0, 9, no_regularization, -0.056391455259, 0.00246282645897, 22.8970478426, 0.0170482531421, 0.0739296034051, 0.230601171342
14, 5.0, 10, no_regularization, -0.0411688683726, 0.136908323849, 0.300703910581, 0.00969273983008, 0.138055172771, 0.0702091753284
14, 5.0, 6, regularization, -0.0408386373655, 0.0859367110643, 0.475217597459, 0.0205029695933, 0.0927620043592, 0.221027668979
14, 5.0, 7, regularization, -0.0416149902462, 0.0975100450538, 0.426776443629, 0.0223252043412, 0.0717440044324, 0.311178676431
14, 5.0, 8, regularization, -0.055708849483, 0.00297352211857, 18.7349706045, 0.0287142503326, 0.00747113490418, 3.84335856612
14, 5.0, 9, regularization, -0.0563992399304, 0.00204247490098, 27.6131862885, 0.0290120238512, 0.00674030628552, 4.30425897908
14, 5.0, 10, regularization, -0.0398249837498, 0.0897205117689, 0.443878249964, 0.0198408077389, 0.0893991352296, 0.22193511926
22, 11.0, 6, no_regularization, 0.0278824921335, 0.36818100409, 0.0757303929963, -0.00648739449689, 0.478881245435, 0.0135469796713
22, 11.0, 7, no_regularization, -0.00943486782594, 0.392324015246, 0.0240486624812, -0.0745760556639, 0.705772737956, 0.105665820814
22, 11.0, 8, no_regularization, -0.0738910120604, 0.3639061403, 0.203049643514, -0.0516800074866, 0.807807922064, 0.063975613602
22, 11.0, 9, no_regularization, -0.0178349666924, 0.414528784077, 0.0430246761564, -0.0444591824454, 0.587677777729, 0.0756523117434
22, 11.0, 10, no_regularization, 0.012827934393, 0.520782149379, 0.0246320547053, 0.0236845744019, 0.675366229411, 0.0350692311379
22, 11.0, 6, regularization, -0.0177570220329, 0.273931786972, 0.0648227875602, -0.00440170949628, 0.491327476428, 0.00895880997391
22, 11.0, 7, regularization, -0.00452551278698, 0.292777062646, 0.0154571971796, -0.0778029234352, 0.695370535397, 0.111887000491
22, 11.0, 8, regularization, 0.00976984171643, 0.329261210786, 0.0296720093239, -0.0585425566181, 0.723222222907, 0.0809468442255
22, 11.0, 9, regularization, -0.0233194103166, 0.298464597962, 0.0781312439593, -0.0407825443359, 0.611923941075, 0.0666464271104
22, 11.0, 10, regularization, 0.00307372404054, 0.386614988415, 0.00795034888105, -0.00340368415486, 0.619755046014, 0.00549198296447
26, 3.0, 6, no_regularization, -0.0347488081352, 0.00152425486432, 22.7972427372, 0.0039480545049, 0.0746000279013, 0.0529229628456
26, 3.0, 7, no_regularization, -0.0344155528618, 0.00198200782077, 17.3639843906, 0.00213209448519, 0.0788055335221, 0.0270551367385
26, 3.0, 8, no_regularization, -0.0345493279849, 0.00252098698727, 13.7046831893, 0.0105991759485, 0.0548674403948, 0.193177882406
26, 3.0, 9, no_regularization, -0.0343744971782, 0.00158618207991, 21.671217708, 0.00365015948929, 0.0728238411604, 0.0501231386745
26, 3.0, 10, no_regularization, -0.0349241443082, 0.00332026527524, 10.5184801253, 0.0101790072581, 0.057142234627, 0.178134567619
26, 3.0, 6, regularization, -0.0347277693531, 0.00214454610867, 16.1935288836, 0.0170100687555, 0.00430291796526, 3.95314735088
26, 3.0, 7, regularization, -0.0344122170525, 0.00244213583601, 14.0910331625, 0.0171835272462, 0.00428752808215, 4.00779351575
26, 3.0, 8, regularization, -0.0345300242643, 0.0025723352741, 13.4236095162, 0.0176707717891, 0.00472747233962, 3.73789004348
26, 3.0, 9, regularization, -0.0344059197826, 0.00224913955851, 15.2973698997, 0.0172111870413, 0.00467100692527, 3.68468454803
26, 3.0, 10, regularization, -0.0349455003036, 0.00304330080417, 11.4827624846, 0.0177821280946, 0.00514123724505, 3.45872544818
26, 1.0, 6, no_regularization, -0.0125224411017, 0.000801425622554, 15.6252068181, 0.00644308504329, 0.00598445696927, 1.07663653969
26, 1.0, 7, no_regularization, -0.0123163536559, 0.00122797982195, 10.0297687598, 0.00297820355912, 0.0333696536187, 0.0892488604513
26, 1.0, 8, no_regularization, -0.0120943842923, 0.00117592941732, 10.2849576804, 0.00584101618099, 0.00544257410113, 1.07320838861
26, 1.0, 9, no_regularization, -0.0119269765775, 0.000773061800115, 15.4282317089, 0.0055132153097, 0.00650110425531, 0.848042900588
26, 1.0, 10, no_regularization, -0.0120737323115, 0.00153665934563, 7.85713004371, 0.00619508529624, 0.00669813461875, 0.924897101784
26, 1.0, 6, regularization, -0.0124818702468, 0.00100027817896, 12.4783990188, 0.00576774035514, 0.0024633336671, 2.34143690405
26, 1.0, 7, regularization, -0.0123202080577, 0.0012347134126, 9.97819245497, 0.00587284046066, 0.00292190126495, 2.00993802601
26, 1.0, 8, regularization, -0.0120811201996, 0.00121818018818, 9.91735074728, 0.0057484604867, 0.00240248239689, 2.39271700561
26, 1.0, 9, regularization, -0.0119533121185, 0.00103861393429, 11.508907905, 0.00560779790582, 0.00280394602177, 1.9999664267
26, 1.0, 10, regularization, -0.0120872146464, 0.00136763334686, 8.83805200725, 0.00587339016459, 0.00250258555296, 2.34692882233
16, 11.0, 6, no_regularization, -0.0319520544895, 0.33893718687, 0.0942713155335, -0.0545867814434, 0.523283524748, 0.104315880133
16, 11.0, 7, no_regularization, -0.0232778223048, 0.355473675986, 0.0654839552894, -0.0123176187187, 0.40233842232, 0.0306150693928
16, 11.0, 8, no_regularization, -0.00651580145618, 0.42367789897, 0.0153791393698, -0.0549438511508, 0.83285149145, 0.0659707663549
16, 11.0, 9, no_regularization, 0.0164052301638, 0.352833297746, 0.046495697171, 0.00459282309181, 0.386243755708, 0.0118909963564
16, 11.0, 10, no_regularization, 0.0223925350939, 0.343825735824, 0.0651275712105, 0.0414372438992, 0.382616167208, 0.108299772594
