axialTopFactor, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
1.8, 5.0, 6, no_regularization, -0.0353695484927, 0.133013563455, 0.265909337167, 0.012992741413, 0.133031972352, 0.097666306703
1.8, 5.0, 7, no_regularization, -0.0563488826771, 0.0713325936898, 0.789945798441, 0.0195965705982, 0.0863761647341, 0.226874747895
1.8, 5.0, 8, no_regularization, -0.0501457100645, 0.0967557191775, 0.518271276269, 0.0266811269675, 0.0973230480968, 0.274150136985
1.8, 5.0, 9, no_regularization, -0.0563938812307, 0.00239435933843, 23.5528060995, 0.0161289130669, 0.0770541710021, 0.209319143366
1.8, 5.0, 10, no_regularization, -0.0564468421156, 0.064569006149, 0.874209554742, 0.0171840098872, 0.110315637439, 0.155771296674
1.8, 5.0, 6, regularization, -0.0328991442879, 0.105066694454, 0.313126290483, 0.0261897612416, 0.0962815046566, 0.272012380104
1.8, 5.0, 7, regularization, -0.0552335309604, 0.00220432523347, 25.0568882131, 0.0281391838652, 0.00632218994381, 4.4508602423
1.8, 5.0, 8, regularization, -0.050695613846, 0.0438216805035, 1.15686147276, 0.0249424372582, 0.0435029516537, 0.573350458074
1.8, 5.0, 9, regularization, -0.0564063325868, 0.00200964741179, 28.0677755988, 0.029001621211, 0.00672988116415, 4.30938087963
1.8, 5.0, 10, regularization, -0.0196749658369, 0.124040916257, 0.158616740593, 0.0246401480094, 0.132138793855, 0.186471718793
1.8, 3.0, 6, no_regularization, -0.0347481513859, 0.00151340572076, 22.9602352556, 0.00405247291393, 0.0734696549393, 0.055158458513
1.8, 3.0, 7, no_regularization, -0.0344153383699, 0.00198195052831, 17.3643781105, 0.00202694786852, 0.079532648273, 0.0254857333753
1.8, 3.0, 8, no_regularization, -0.0345491436761, 0.00251921531964, 13.7142480068, 0.00997213420237, 0.0565502415874, 0.176341142362
1.8, 3.0, 9, no_regularization, -0.0343749722934, 0.00157569661222, 21.8157302788, 0.00302657344569, 0.0750172222534, 0.040345048174
1.8, 3.0, 10, no_regularization, -0.034925901614, 0.00331033297253, 10.5505705631, 0.0117377470107, 0.0515284600846, 0.227791534843
1.8, 3.0, 6, regularization, -0.0347281644198, 0.00214752242986, 16.1712697092, 0.0170484069639, 0.00436107435696, 3.90922180373
1.8, 3.0, 7, regularization, -0.0344113490335, 0.00243465634345, 14.1339656112, 0.0172271724045, 0.00425665921428, 4.04711101766
1.8, 3.0, 8, regularization, -0.0345301123122, 0.00256908435626, 13.4406300159, 0.0175934266302, 0.00489085129022, 3.5972115254
1.8, 3.0, 9, regularization, -0.0344055936191, 0.00224356193386, 15.335254668, 0.0171849076371, 0.00480753344493, 3.57457890495
1.8, 3.0, 10, regularization, -0.0349482709776, 0.00302757025453, 11.5433393908, 0.0176362969181, 0.00544320362349, 3.24005827046
1.4, 9.0, 6, no_regularization, -0.00123147683752, 0.428294809842, 0.00287530179966, -0.00134407461517, 0.515969149801, 0.00260495150861
1.4, 9.0, 7, no_regularization, -0.000355686591583, 0.363747134141, 0.000977840258241, -0.0831514338574, 0.511961339981, 0.162417408042
1.4, 9.0, 8, no_regularization, -0.0361492869294, 0.356791759362, 0.101317606085, -0.0918799647291, 0.429229035712, 0.214058130007
1.4, 9.0, 9, no_regularization, -0.0246377205502, 0.294687051771, 0.0836063899047, 0.0302919795744, 0.384340569838, 0.078815461993
1.4, 9.0, 10, no_regularization, 0.00100527152133, 0.40940017299, 0.00245547410004, 0.0610246255543, 0.690055196835, 0.0884344119634
1.4, 9.0, 6, regularization, 0.0472016821576, 0.375263898195, 0.125782635592, 0.0597255552635, 0.654951678683, 0.0911907812553
1.4, 9.0, 7, regularization, -0.0159491349184, 0.278246774385, 0.0573201071376, 0.0106342606982, 0.934886054964, 0.0113749270745
1.4, 9.0, 8, regularization, -0.0145606722175, 0.233840392535, 0.0622675666068, -0.0499971485635, 0.507520918819, 0.098512488273
1.4, 9.0, 9, regularization, -0.00972820555091, 0.209338700252, 0.0464711280771, 0.0485745066321, 0.348443605282, 0.13940421318
1.4, 9.0, 10, regularization, -0.00999820211784, 0.321810161309, 0.0310686339958, 0.062697430625, 0.63734580143, 0.098372705185
2.2, 1.0, 6, no_regularization, -0.0125266117771, 0.000711100299042, 17.6158156507, 0.00692937451439, 0.00513332606959, 1.34988006225
2.2, 1.0, 7, no_regularization, -0.0123050046249, 0.0010875536478, 11.3143886279, 0.0077733922319, 0.00898584024464, 0.865071269938
2.2, 1.0, 8, no_regularization, -0.0120958216885, 0.00108173282271, 11.181893934, 0.00624179325971, 0.00602914855894, 1.03526944123
2.2, 1.0, 9, no_regularization, -0.0119634142768, 0.000703089637893, 17.0154893942, 0.00617221425704, 0.00446421665214, 1.38259738225
2.2, 1.0, 10, no_regularization, -0.0120803732194, 0.0011830018468, 10.2116266784, 0.00620358801239, 0.00686664218289, 0.903438368733
2.2, 1.0, 6, regularization, -0.0125202857068, 0.000565673695113, 22.1334062639, 0.00618724370526, 0.00218251982622, 2.83490836186
