lateralBottomBlockRadius, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
9, 7.0, 6, no_regularization, -0.0875028874585, 0.171520407109, 0.510160213197, 0.0481225255932, 0.187893687027, 0.256115712852
9, 7.0, 7, no_regularization, -0.0118616759993, 0.423304431295, 0.0280216201918, -0.315594867775, 0.735495886452, 0.429091275137
9, 7.0, 8, no_regularization, 0.0760314075237, 0.434599167516, 0.174946049617, 0.0280208835068, 0.610532276188, 0.0458958266412
9, 7.0, 9, no_regularization, 0.00167195704977, 0.36139527645, 0.00462639430762, -0.0369084688357, 0.415082027633, 0.0889184941256
9, 7.0, 10, no_regularization, -0.0325362970442, 0.312772503269, 0.10402543927, 0.0325941290569, 0.345613770983, 0.0943079581701
9, 7.0, 6, regularization, -0.0584981541694, 0.171013664175, 0.342067135113, 0.0216597472406, 0.234771619594, 0.0922587972005
9, 7.0, 7, regularization, -0.0408305307463, 0.342154260573, 0.119333690827, -0.000737529697393, 0.617751717991, 0.00119389339748
9, 7.0, 8, regularization, -0.0280571218309, 0.258522333089, 0.108528812562, 0.0042564406228, 0.350563018875, 0.0121417274317
9, 7.0, 9, regularization, -0.0255047883442, 0.295307966904, 0.0863667465921, -0.0703127153608, 0.623330566796, 0.112801648285
9, 7.0, 10, regularization, -0.0136752973342, 0.243533475944, 0.056153665451, 0.0134638731614, 0.304374017599, 0.0442346336511
12, 1.0, 6, no_regularization, -0.012521502467, 0.000795650406442, 15.7374424315, 0.00630712191465, 0.00653976075193, 0.964427011002
12, 1.0, 7, no_regularization, -0.0123162811567, 0.00124302824809, 9.90828742273, -0.0016056444838, 0.0535313707319, 0.0299944586108
12, 1.0, 8, no_regularization, -0.0120944056026, 0.00117544665243, 10.2891999204, 0.00576511889769, 0.00555023021521, 1.03871707554
12, 1.0, 9, no_regularization, -0.0119265194539, 0.000773250054725, 15.4238843968, 0.00600774683446, 0.00449829399697, 1.33556117908
12, 1.0, 10, no_regularization, -0.0120745909125, 0.0015441624014, 7.81950842836, 0.00617958340404, 0.00673790236655, 0.917137570102
12, 1.0, 6, regularization, -0.0124816696676, 0.00100139600682, 12.4642694625, 0.00568257337134, 0.00284485178883, 1.99749364577
12, 1.0, 7, regularization, -0.0123194837839, 0.00123836749293, 9.9481647041, 0.00604382653391, 0.00252775549704, 2.39098541809
12, 1.0, 8, regularization, -0.0120811410324, 0.0012190419479, 9.91035710726, 0.00567914722435, 0.00253750623053, 2.23808208075
12, 1.0, 9, regularization, -0.0119531463522, 0.00104222677518, 11.4688536476, 0.00588134506362, 0.00206062480909, 2.85415619461
12, 1.0, 10, regularization, -0.0120878257674, 0.00136996483787, 8.82345694815, 0.00588125644191, 0.00251104678275, 2.34215327341
16, 5.0, 6, no_regularization, -0.0487113662631, 0.154631922451, 0.315014943171, 0.00831534858713, 0.166565073232, 0.0499225223259
16, 5.0, 7, no_regularization, -0.0533321890774, 0.0433717284582, 1.2296533012, 4.5747860316e-05, 0.118388343735, 0.000386421997914
16, 5.0, 8, no_regularization, -0.0128053048369, 0.226532729638, 0.0565273938889, 0.0276768289805, 0.195986486987, 0.141218047254
16, 5.0, 9, no_regularization, -0.0564198307103, 0.00217334080374, 25.9599555731, 0.00798815369047, 0.0901798895652, 0.0885802114971
16, 5.0, 10, no_regularization, -0.0557450168451, 0.0392831824448, 1.41905551882, 0.0143987683676, 0.0943584247637, 0.152596531826
16, 5.0, 6, regularization, -0.0278055378935, 0.110939683878, 0.25063653439, 0.0094767468258, 0.177892742978, 0.0532722508359
16, 5.0, 7, regularization, -0.0620296691144, 0.0718189036821, 0.863695572255, 0.0178188917534, 0.0808164059016, 0.220486070305
16, 5.0, 8, regularization, -0.0118975645979, 0.167469920477, 0.0710429942521, 0.0291475321476, 0.156556232828, 0.186179314749
16, 5.0, 9, regularization, -0.0564222677696, 0.00181933040484, 31.0126558757, 0.0277056234693, 0.00618842938797, 4.47700405585
16, 5.0, 10, regularization, -0.0608672878684, 0.0351089030496, 1.73367102306, 0.02749610473, 0.0195701433194, 1.40500272692
14, 1.0, 6, no_regularization, -0.0125194716744, 0.000767799637506, 16.3056493685, 0.00637674325209, 0.0047817142341, 1.33356845263
