lateralTopBlockRadiusNextGen, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
12, 3.0, 6, no_regularization, -0.0347687167222, 0.00137351939492, 25.3135972094, 0.0203587301254, 0.0132374901161, 1.53795998689
12, 3.0, 7, no_regularization, -0.0344232216384, 0.00172034305166, 20.009510083, 0.0214219583703, 0.0158344320594, 1.35287191167
12, 3.0, 8, no_regularization, -0.0345619034557, 0.00241986703438, 14.2825630354, 0.0207008614361, 0.0155080741091, 1.33484411349
12, 3.0, 9, no_regularization, -0.0344501153911, 0.00138866810046, 24.8080267558, 0.0212082874418, 0.014404837733, 1.47230311337
12, 3.0, 10, no_regularization, -0.0349417366342, 0.00266388040859, 13.1168563429, 0.0201565445161, 0.0164857823058, 1.22266230029
12, 3.0, 6, regularization, -0.0347647314156, 0.00132720340377, 26.1939739733, 0.0178362650931, 0.0031162481503, 5.72363439392
12, 3.0, 7, regularization, -0.0344168117484, 0.00154202844559, 22.319180847, 0.0177878131212, 0.00357803591359, 4.9713903244
12, 3.0, 8, regularization, -0.0345733789161, 0.00197561960153, 17.5000181661, 0.0181951796201, 0.00451946894694, 4.02595522478
12, 3.0, 9, regularization, -0.0344423934778, 0.00129334907031, 26.6303925741, 0.0179346849742, 0.00322058597684, 5.56876453639
12, 3.0, 10, regularization, -0.0349220984394, 0.00212277682577, 16.4511398539, 0.0184419901865, 0.00510483939268, 3.61264846313
12, 0.5, 6, no_regularization, -0.00636730616064, 0.000520429433948, 12.2347156892, 0.00308563629932, 0.00291310939238, 1.05922431454
12, 0.5, 7, no_regularization, -0.00613832927906, 0.000742301188039, 8.26932433623, 0.00355169667385, 0.00438866065347, 0.809289428892
12, 0.5, 8, no_regularization, -0.00632956563825, 0.000653376503554, 9.68747055308, 0.00318942844924, 0.00331176164997, 0.963060988784
12, 0.5, 9, no_regularization, -0.00605328558202, 0.000557118858935, 10.8653395679, 0.003045765945, 0.00319267984466, 0.953984142851
12, 0.5, 10, no_regularization, -0.00616683176527, 0.000766945841632, 8.04076563235, 0.00340500463229, 0.00444876429666, 0.765382116299
12, 0.5, 6, regularization, -0.00639462867998, 0.000628326259894, 10.1772424426, 0.00310680616025, 0.00193367948309, 1.60668103862
12, 0.5, 7, regularization, -0.00610981290276, 0.000845472229337, 7.22650926992, 0.00287409851254, 0.00192299718157, 1.4945932007
12, 0.5, 8, regularization, -0.00634764618671, 0.000765830408127, 8.28857945486, 0.00330040323005, 0.00233031294796, 1.41629184739
12, 0.5, 9, regularization, -0.00602414913694, 0.000866595530204, 6.95151189566, 0.0029793489847, 0.00215880331354, 1.38009283478
12, 0.5, 10, regularization, -0.0061841725328, 0.000816013932401, 7.57851341411, 0.00319850038595, 0.00211408525998, 1.51294767837
18, 11.0, 6, no_regularization, -0.0109746358807, 0.43997606761, 0.0249437110077, -0.0361945784725, 0.620165825117, 0.0583627426836
18, 11.0, 7, no_regularization, -0.0217368151919, 0.325084453447, 0.0668651329261, -0.0221413770829, 0.898034874153, 0.0246553644187
18, 11.0, 8, no_regularization, 0.0418244788671, 0.520489886417, 0.0803559876157, 0.1271173854, 1.05402379958, 0.120602006758
18, 11.0, 9, no_regularization, 0.00290074543365, 0.743883705405, 0.00389946091381, -0.0621114532886, 0.854200291263, 0.0727129853781
18, 11.0, 10, no_regularization, 0.00257356634362, 0.800164790864, 0.00321629540939, -0.0900467709343, 0.752901749253, 0.119599630395
18, 11.0, 6, regularization, 0.0171757003909, 0.223582719568, 0.0768203393538, -0.0389109688264, 0.987088825917, 0.039419926358
18, 11.0, 7, regularization, -0.00572603440493, 0.273793433614, 0.0209137024557, -0.247099692303, 0.853648671521, 0.289462984652
18, 11.0, 8, regularization, 0.039364131263, 0.567598763357, 0.0693520384544, -0.0881142267401, 1.02350769802, 0.0860904387044
18, 11.0, 9, regularization, 0.0100065273248, 0.669880540753, 0.014937778777, -0.0564143479114, 0.786185350289, 0.0717570581678
18, 11.0, 10, regularization, 0.00507722236259, 0.792677766038, 0.00640515298917, -0.0904854715342, 0.720501871072, 0.125586726652
8, 1.0, 6, no_regularization, -0.012525549067, 0.000712569546072, 17.5780022259, 0.00699499770494, 0.00539468109865, 1.29664711908
8, 1.0, 7, no_regularization, -0.0123053126692, 0.00108490115963, 11.3423352532, 0.0085430530496, 0.010734247157, 0.795868860164
8, 1.0, 8, no_regularization, -0.0120967125408, 0.00108286828471, 11.1709916263, 0.0062443547068, 0.00603327752517, 1.03498549184
8, 1.0, 9, no_regularization, -0.0119631246547, 0.000701754943259, 17.0474390949, 0.00608780546214, 0.0044629657787, 1.36407173257
8, 1.0, 10, no_regularization, -0.0120812811836, 0.00118471925045, 10.1975900021, 0.00624648601915, 0.00698962003912, 0.893680340875
8, 1.0, 6, regularization, -0.0125180984692, 0.000564525233306, 22.1745596665, 0.00613932358041, 0.00220788047634, 2.78064127393
8, 1.0, 7, regularization, -0.0123132262324, 0.000877790789106, 14.0275181572, 0.00642860821186, 0.00247880382589, 2.59343161597
8, 1.0, 8, regularization, -0.0120826092774, 0.000951276196028, 12.7014733764, 0.00600812224828, 0.00263504006528, 2.28008762654
8, 1.0, 9, regularization, -0.0119794000795, 0.000671670660654, 17.8352290509, 0.0058960646299, 0.00203519862368, 2.89704629381
8, 1.0, 10, regularization, -0.012096861251, 0.000992908256395, 12.1832618201, 0.00637304513191, 0.0025251980718, 2.52378029394
18, 7.0, 6, no_regularization, -0.00648384874566, 0.312588960101, 0.0207424111957, 0.001027727001, 0.384746380249, 0.00267118042887
18, 7.0, 7, no_regularization, 0.002812794389, 0.564714656558, 0.00498091267215, -0.000638435265973, 0.882225112624, 0.00072366480713
18, 7.0, 8, no_regularization, -0.024685713921, 0.267784503161, 0.0921849981219, 0.0334507437226, 0.306960824155, 0.108973983292
18, 7.0, 9, no_regularization, -0.0106352295091, 0.274003217681, 0.038814250428, 0.0423851619657, 0.295085442862, 0.143636912599
18, 7.0, 10, no_regularization, -0.00072414939489, 0.542216220345, 0.0013355362081, 0.00317599791162, 1.04086070757, 0.00305131886383
18, 7.0, 6, regularization, -0.0379322227623, 0.514482612655, 0.0737288721314, -0.107516170904, 0.75191563645, 0.142989672899
18, 7.0, 7, regularization, 0.00678576717658, 0.537058607785, 0.0126350589642, -0.00904138973735, 0.823664255466, 0.0109770330293
18, 7.0, 8, regularization, -0.0480556375676, 0.22354482586, 0.214970923092, -0.00569135145864, 0.231419200946, 0.0245932551637
18, 7.0, 9, regularization, -0.0490912330192, 0.146431251088, 0.335251065974, 0.0426604789921, 0.20184705257, 0.211350517379
18, 7.0, 10, regularization, -0.0197824356865, 0.438099192231, 0.0451551521602, 0.0564840868003, 0.632904031269, 0.0892458951275
8, 7.0, 6, no_regularization, -0.0685127022455, 0.114967459923, 0.595931251254, 0.0367097011045, 0.140881648647, 0.260571206093
8, 7.0, 7, no_regularization, -0.0257405253672, 0.487124917368, 0.0528417341208, 0.0144820970299, 0.594619866996, 0.0243552189116
8, 7.0, 8, no_regularization, -0.0171341563125, 0.335036016229, 0.0511412370089, 0.0344251394123, 0.345727328368, 0.0995730929771
8, 7.0, 9, no_regularization, -0.0728762304817, 0.0868497818684, 0.83910666111, 0.0460825515777, 0.0900098598727, 0.511972262183
8, 7.0, 10, no_regularization, -0.050404172448, 0.565576089074, 0.0891200555004, -0.113855397851, 0.806759785239, 0.141126764044
8, 7.0, 6, regularization, -0.0755965325528, 0.1020658648, 0.740664204445, 0.041867479937, 0.117290255289, 0.356956166853
8, 7.0, 7, regularization, -0.0244217720619, 0.392581933913, 0.0622080894514, -0.0640976927002, 0.612919348425, 0.104577695034
8, 7.0, 8, regularization, 0.0167311972343, 0.404692423693, 0.0413429959514, 0.0370045641866, 0.675388349949, 0.0547900540324
8, 7.0, 9, regularization, -0.0725273028171, 0.0365672185755, 1.98339675924, 0.0381407456847, 0.0375891794205, 1.01467353831
8, 7.0, 10, regularization, -0.0508013222205, 0.500604526855, 0.101479949731, -0.0276597041546, 0.759218016461, 0.0364318332217
12, 1.0, 6, no_regularization, -0.0125254862814, 0.00071262663241, 17.5765060015, 0.0069542966727, 0.00526992189824, 1.31962044353
12, 1.0, 7, no_regularization, -0.0123052507415, 0.00108534694324, 11.3376195678, 0.00854504517556, 0.0107283126548, 0.79649479378
12, 1.0, 8, no_regularization, -0.0120964260781, 0.00108173740893, 11.1824052476, 0.00625039290929, 0.00603762970517, 1.0352395252
12, 1.0, 9, no_regularization, -0.0119633789586, 0.000701971778832, 17.042535497, 0.00608748417955, 0.0044660607121, 1.36305450642
12, 1.0, 10, no_regularization, -0.0120816132463, 0.00118380268564, 10.2057660393, 0.00625029051911, 0.00699857880165, 0.893079966127
12, 1.0, 6, regularization, -0.0125181176583, 0.000564959155955, 22.157562235, 0.00615432273066, 0.00218145433514, 2.82120172378
12, 1.0, 7, regularization, -0.0123131661786, 0.000877391743319, 14.0338295549, 0.00643059194365, 0.00247832611156, 2.59473194979
12, 1.0, 8, regularization, -0.0120823795862, 0.00094960723932, 12.7235546296, 0.00600884762988, 0.00263620188949, 2.27935791027
12, 1.0, 9, regularization, -0.0119795618052, 0.000671955729053, 17.8279033681, 0.00589486068602, 0.00203697057902, 2.89393511459
12, 1.0, 10, regularization, -0.0120970171127, 0.000992420296307, 12.1894092228, 0.00637641280898, 0.00252670426362, 2.52360867902
18, 3.0, 6, no_regularization, -0.0347686640627, 0.0013726083415, 25.3303604615, 0.0206095020859, 0.013803883791, 1.49302199279
18, 3.0, 7, no_regularization, -0.0344240704984, 0.00172069197195, 20.0059458983, 0.0213134643888, 0.0156531994625, 1.36160434421
18, 3.0, 8, no_regularization, -0.0345617907969, 0.00242004247328, 14.2814810808, 0.0205785098334, 0.0153340579508, 1.34201330786
18, 3.0, 9, no_regularization, -0.0344507079357, 0.00139458419206, 24.7032112739, 0.0212045141555, 0.0144475255696, 1.46769175478
18, 3.0, 10, no_regularization, -0.0349411092194, 0.00266516201792, 13.1103133635, 0.0199352254776, 0.0160365612159, 1.24311098927
18, 3.0, 6, regularization, -0.0347645045555, 0.00132817755282, 26.1745912524, 0.0178377530155, 0.00308457329158, 5.78289161232
18, 3.0, 7, regularization, -0.0344180794093, 0.00154325515499, 22.3022610992, 0.0177710226514, 0.00359664425436, 4.94100094272
18, 3.0, 8, regularization, -0.0345737877448, 0.00197458619986, 17.5093838634, 0.018180171586, 0.00451960700013, 4.02251160013
18, 3.0, 9, regularization, -0.0344431432078, 0.00129773295236, 26.5410099553, 0.0179153046152, 0.00320210641079, 5.59484986346
18, 3.0, 10, regularization, -0.034921403677, 0.00212297501878, 16.4492767781, 0.018437515853, 0.00510322507642, 3.61291449563
12, 9.0, 6, no_regularization, -0.0668444709208, 0.339112062928, 0.197116169633, -0.0124103431858, 0.382107882878, 0.0324786369031
12, 9.0, 7, no_regularization, -0.0689622552194, 0.587585185878, 0.117365544396, -0.103908845957, 0.831177371089, 0.125014045824
12, 9.0, 8, no_regularization, 0.0607566000029, 0.534297330427, 0.113713089216, -0.217319455807, 1.0830313427, 0.200658510274
12, 9.0, 9, no_regularization, -0.0265640577596, 0.475334385299, 0.0558849908215, -0.167961951155, 1.16817641898, 0.143781323117
12, 9.0, 10, no_regularization, -0.0960149359531, 0.611884492725, 0.156916766309, -0.102910725316, 0.913646939949, 0.112637300927
12, 9.0, 6, regularization, -0.0820546458376, 0.237554430306, 0.345414083552, 0.00940816416338, 0.346972124174, 0.0271150432784
12, 9.0, 7, regularization, 0.00377684025688, 0.302705605382, 0.0124769419189, 0.13341429404, 0.79237375636, 0.16837293382
12, 9.0, 8, regularization, 0.0596391061391, 0.419851578115, 0.142048069479, -0.191957303458, 0.951469561847, 0.201748233633
12, 9.0, 9, regularization, -0.0581028472981, 0.230507261522, 0.252065149334, -0.14989524814, 0.643589903894, 0.232904909218
12, 9.0, 10, regularization, -0.0925722469825, 0.534072925066, 0.173332596801, -0.0997675694677, 0.901982922327, 0.11060915567
8, 3.0, 6, no_regularization, -0.0347686874915, 0.00137493441115, 25.2875244155, 0.0203999016753, 0.0131988543227, 1.54558124338
8, 3.0, 7, no_regularization, -0.0344231400852, 0.00172079020401, 20.0042631606, 0.0214047648815, 0.0156677469406, 1.36616738595
8, 3.0, 8, no_regularization, -0.0345620026631, 0.00241859212769, 14.2901327873, 0.0206899610353, 0.0154875346899, 1.3359105532
8, 3.0, 9, no_regularization, -0.034449609012, 0.00138935279783, 24.7954364549, 0.0212079541755, 0.0143849099938, 1.4743195602
8, 3.0, 10, no_regularization, -0.0349415763006, 0.00266188060633, 13.1266504656, 0.020534586123, 0.0173235368196, 1.18535760548
8, 3.0, 6, regularization, -0.0347645952081, 0.00132669612747, 26.2038868497, 0.0178580542951, 0.00309763065709, 5.76506894204
8, 3.0, 7, regularization, -0.034417070695, 0.00154204756057, 22.3190721059, 0.0177907689822, 0.00358238417351, 4.96618121355
8, 3.0, 8, regularization, -0.034573406647, 0.00197389102365, 17.5153573489, 0.0181885539568, 0.0045185540511, 4.02530405768
8, 3.0, 9, regularization, -0.0344419436357, 0.00129609172276, 26.5736930734, 0.0179323341933, 0.00321275020206, 5.58161483633
8, 3.0, 10, regularization, -0.034921795629, 0.00212339943879, 16.446173523, 0.0183674701629, 0.00503450824007, 3.64831464902
18, 9.0, 6, no_regularization, -0.00153177940649, 0.301142698744, 0.00508655668186, -0.290946567331, 0.727448322293, 0.399954963693
18, 9.0, 7, no_regularization, -0.0592514712374, 0.635166119343, 0.0932849996764, -0.175084125267, 0.747142468204, 0.234338339364
18, 9.0, 8, no_regularization, -0.0158100352394, 0.51957445082, 0.0304288157635, -0.0693813705778, 0.835959097834, 0.0829961307408
18, 9.0, 9, no_regularization, -0.0652218578025, 0.509249183792, 0.128074545583, -0.117782236202, 0.896284091844, 0.131411722326
18, 9.0, 10, no_regularization, -0.0709660648161, 0.356332698829, 0.199156757293, 0.121737968146, 0.541351561497, 0.224877836889
18, 9.0, 6, regularization, 2.90377177174e-05, 0.270952703892, 0.000107168953475, -0.298446805923, 0.728127287032, 0.409882737865
18, 9.0, 7, regularization, -0.00543278975131, 0.433891878557, 0.0125210680812, -0.174957882062, 0.963837881231, 0.181522106019
18, 9.0, 8, regularization, -0.016685660453, 0.425906884896, 0.0391767802885, -0.0665301252259, 0.781467500882, 0.0851348586484
18, 9.0, 9, regularization, -0.0607596987777, 0.457992660682, 0.13266522369, -0.0865566991253, 0.908012049137, 0.0953254961843
18, 9.0, 10, regularization, -0.0592664398041, 0.514948995841, 0.115091864015, 0.127411907022, 0.828623656727, 0.15376329892
8, 0.5, 6, no_regularization, -0.00636760108645, 0.000523349791747, 12.1670079684, 0.00308648281472, 0.00291946621909, 1.05720792196
8, 0.5, 7, no_regularization, -0.00613859679964, 0.000745590710716, 8.23319914185, 0.00356263606152, 0.00441938933661, 0.806137633542
8, 0.5, 8, no_regularization, -0.00632952932036, 0.000656727907313, 9.63797830102, 0.00318995399531, 0.00331919520778, 0.961062485216
8, 0.5, 9, no_regularization, -0.00605321055433, 0.000560745066963, 10.7949421421, 0.0030537422824, 0.00319350941322, 0.956234000678
8, 0.5, 10, no_regularization, -0.00616666226527, 0.000767832978308, 8.03125476436, 0.00340660689031, 0.00446351068693, 0.763212441784
8, 0.5, 6, regularization, -0.00639488873717, 0.000630391744077, 10.1443091494, 0.00310949266181, 0.00193421966462, 1.60762126386
8, 0.5, 7, regularization, -0.00610995000165, 0.000847157277102, 7.21229713395, 0.00286235421355, 0.00189647631265, 1.50930132607
8, 0.5, 8, regularization, -0.00634762063867, 0.000766939252924, 8.27656247149, 0.0032996978001, 0.00232457960566, 1.41948152348
8, 0.5, 9, regularization, -0.00602410076574, 0.000867225080692, 6.94640976127, 0.00298490322678, 0.00215334872079, 1.38616806371
8, 0.5, 10, regularization, -0.00618403731636, 0.000815248529431, 7.58546270629, 0.00320079217418, 0.00211252568303, 1.51514947245
12, 11.0, 6, no_regularization, -0.0488598592569, 0.577935308164, 0.0845420907266, 0.0084872842593, 0.725498125833, 0.0116985612465
12, 11.0, 7, no_regularization, -0.0718977919875, 0.515248831242, 0.139539941923, 0.0820845359264, 0.939249477254, 0.0873937520481
12, 11.0, 8, no_regularization, -0.0252448487513, 0.551772454553, 0.045752281657, -0.0920553964147, 1.02928799543, 0.0894359953902
12, 11.0, 9, no_regularization, -0.0290250128416, 0.608557326188, 0.0476947883011, 0.0534576530654, 0.956933072078, 0.0558635234012
12, 11.0, 10, no_regularization, -0.0274708558944, 0.623999211785, 0.0440238631324, 0.0172965627715, 1.02266181983, 0.0169132771323
12, 11.0, 6, regularization, -0.0221316071674, 0.337220152163, 0.0656295509785, 0.0227358647544, 0.649505677569, 0.035004874537
12, 11.0, 7, regularization, -0.0140668202222, 0.304152868377, 0.0462491782413, -0.0109509897791, 0.780132246842, 0.014037350492
12, 11.0, 8, regularization, -0.0175132429274, 0.476989233272, 0.0367162227274, -0.0991203927579, 1.01530523895, 0.0976262004326
12, 11.0, 9, regularization, -0.0331365213808, 0.593993838902, 0.0557859681542, 0.0362194838704, 0.882454160665, 0.0410440400021
12, 11.0, 10, regularization, -0.0250876249018, 0.562317914287, 0.0446146641683, 0.0124138023585, 1.09782369182, 0.0113076466203
18, 0.5, 6, no_regularization, -0.0063669067613, 0.000517659232808, 12.2994169866, 0.00308481561967, 0.0029009458214, 1.06338270674
18, 0.5, 7, no_regularization, -0.00613768920145, 0.000739143531392, 8.30378531473, 0.003537445875, 0.00435375947542, 0.812503744172
18, 0.5, 8, no_regularization, -0.00632948010633, 0.000651698270638, 9.71228617828, 0.00318989016296, 0.00330445490188, 0.965330215628
18, 0.5, 9, no_regularization, -0.00605372249151, 0.000552799600963, 10.9510254366, 0.00304830912665, 0.00318871997725, 0.955966390402
18, 0.5, 10, no_regularization, -0.00616696813492, 0.000766713428228, 8.04338088765, 0.00339608475496, 0.00443688278878, 0.765421336699
18, 0.5, 6, regularization, -0.00639429855541, 0.000627635030001, 10.1879249082, 0.00310274132831, 0.00192902921296, 1.60844704034
18, 0.5, 7, regularization, -0.00610935916969, 0.000844213549222, 7.23674617083, 0.00288021401552, 0.00192828481629, 1.49366628373
18, 0.5, 8, regularization, -0.00634754273103, 0.000765680921814, 8.29006254457, 0.00330243607546, 0.0023355864747, 1.41396437735
18, 0.5, 9, regularization, -0.00602430415217, 0.000864838942375, 6.96581046134, 0.00298423616304, 0.00216121938362, 1.38081130757
18, 0.5, 10, regularization, -0.00618435603602, 0.000815680681274, 7.58183462965, 0.0031924448497, 0.00211433467878, 1.5099051639
8, 11.0, 6, no_regularization, -0.0191452001098, 0.621308795905, 0.0308143072109, -0.0698974459628, 0.738591302119, 0.0946361617884
8, 11.0, 7, no_regularization, -0.00624605417722, 0.553613258442, 0.0112823421079, -0.0306573459524, 0.504374037269, 0.060782958057
8, 11.0, 8, no_regularization, 0.00963225062134, 0.335358209068, 0.0287222747524, 0.000901366075805, 0.372020968187, 0.00242289051663
8, 11.0, 9, no_regularization, -0.0028684871727, 0.467557978552, 0.00613504058166, 0.106093573997, 0.707326170169, 0.149992434143
8, 11.0, 10, no_regularization, -0.0471476944444, 0.621487832978, 0.0758626186107, 0.0132238655137, 0.587231243353, 0.0225190087609
8, 11.0, 6, regularization, -0.0384090474506, 0.542495242223, 0.0708007083956, -0.0335327931421, 0.528050425032, 0.0635030132588
8, 11.0, 7, regularization, -0.00800194281818, 0.406210087395, 0.0196990253725, 0.0131734541441, 0.641420097346, 0.0205379503988
8, 11.0, 8, regularization, -0.0102416898828, 0.506248289123, 0.0202305669033, -0.000212562394277, 0.682596676632, 0.000311402621128
8, 11.0, 9, regularization, -0.0122195774459, 0.414808217522, 0.0294583784259, 0.0932703989849, 0.660146039625, 0.141287523345
8, 11.0, 10, regularization, -0.0526941490868, 0.577242440385, 0.0912859925055, 0.0071264450294, 0.557815047672, 0.012775641423
18, 5.0, 6, no_regularization, -0.0556925620409, 0.0020718669203, 26.8803760971, 0.03307813656, 0.0181308253273, 1.82441427584
18, 5.0, 7, no_regularization, -0.0488905284291, 0.212907969382, 0.229632214196, 0.0346889354313, 0.897311605861, 0.0386587392882
18, 5.0, 8, no_regularization, -0.0497979812118, 0.139151950152, 0.357867648693, 0.016347759811, 0.163585130058, 0.0999342654504
18, 5.0, 9, no_regularization, -0.0578871723963, 0.039118773868, 1.47977982622, 0.0339365665001, 0.048461785853, 0.700274781515
18, 5.0, 10, no_regularization, -0.052896384311, 0.259847386676, 0.203567120638, 0.0325141144129, 0.273574614785, 0.118849164563
18, 5.0, 6, regularization, -0.0557097019897, 0.00238458091527, 23.3624707943, 0.0316182838415, 0.0331786530151, 0.952970689533
18, 5.0, 7, regularization, -0.0688203232851, 0.129267826967, 0.532385550992, 0.0297051045869, 0.188959267809, 0.157203745184
18, 5.0, 8, regularization, -0.0557269437714, 0.00313969373795, 17.7491654991, 0.025527959003, 0.0447222088793, 0.570811675959
18, 5.0, 9, regularization, -0.0339576455099, 0.135989634041, 0.24970760271, 0.0350795579644, 0.206638722607, 0.169762750765
18, 5.0, 10, regularization, -0.0446609453156, 0.159496436718, 0.280012182307, 0.0295770160794, 0.282895997125, 0.104550846884
18, 1.0, 6, no_regularization, -0.012525049909, 0.000709703983799, 17.6482733575, 0.00694613371038, 0.00525976829897, 1.32061591225
18, 1.0, 7, no_regularization, -0.0123050084841, 0.00108445173379, 11.3467553241, 0.00851707104388, 0.0106854726107, 0.79707013009
