convergenceTolerance_sim, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
7, 11.0, 11, no_regularization, 0.0150127634279, 0.51166554962, 0.0293409697781, -0.0793939737987, 0.789510739241, 0.100560980177
7, 11.0, 12, no_regularization, -0.0381817765671, 0.550052507645, 0.0694147850185, -0.128732755662, 0.861700113656, 0.149393917469
7, 11.0, 13, no_regularization, 0.0129174225856, 0.524745620974, 0.0246165419382, -0.139770785171, 0.710701140929, 0.196666048669
7, 11.0, 14, no_regularization, 0.00690095796143, 0.567877493639, 0.0121521948637, -0.22859824015, 0.760139857171, 0.300731816644
7, 11.0, 15, no_regularization, -0.0346891778356, 0.53045197358, 0.0653955109291, -0.11841960035, 0.82404691879, 0.143704924622
7, 11.0, 11, regularization, 0.0165968700654, 0.438664592211, 0.0378349891013, -0.0871547378641, 0.76760949688, 0.113540463241
7, 11.0, 12, regularization, -0.0376023537803, 0.489712313687, 0.0767845788829, -0.133990397447, 0.794003343996, 0.168752938461
7, 11.0, 13, regularization, 0.00502786479425, 0.462204097532, 0.0108780186526, -0.131915762863, 0.653521349233, 0.201853792563
7, 11.0, 14, regularization, 0.0105634558844, 0.521611238043, 0.0202515879912, -0.222000897209, 0.73310497776, 0.302822793385
7, 11.0, 15, regularization, -0.0346408094757, 0.445458803878, 0.0777643390907, -0.114957880255, 0.781358800255, 0.147125597379
6, 9.0, 16, no_regularization, -0.0733557928674, 0.277195085471, 0.26463597918, 0.0147604250461, 0.286098948837, 0.0515920282338
6, 9.0, 17, no_regularization, -0.0182415822263, 0.617513936199, 0.0295403571595, -0.0476793232411, 0.746291748328, 0.0638883162623
6, 9.0, 18, no_regularization, -0.058679971007, 0.206813350265, 0.283733960751, 0.0267109209991, 0.220867220568, 0.120936556046
6, 9.0, 19, no_regularization, -0.0409461255338, 0.565689123965, 0.0723827342601, -0.0352992141494, 0.730763996807, 0.0483045337532
6, 9.0, 20, no_regularization, -0.0676519833736, 0.270639166392, 0.249971148949, 0.0329877752008, 0.215753130311, 0.15289592857
6, 9.0, 16, regularization, -0.0775182307017, 0.151248347781, 0.512522826457, 0.0279424067551, 0.175266020366, 0.1594285458
6, 9.0, 17, regularization, -0.0151448617479, 0.591382448596, 0.0256092513124, -0.042503828853, 0.677096022947, 0.0627737092118
6, 9.0, 18, regularization, -0.0595993431864, 0.12412621485, 0.480151136956, 0.0366374420024, 0.116396042515, 0.314765358089
6, 9.0, 19, regularization, -0.0409756193886, 0.48291331046, 0.0848508800671, -0.044210729132, 0.669184296261, 0.0660665968688
6, 9.0, 20, regularization, -0.072293765094, 0.158205044001, 0.456962453696, 0.0362706817225, 0.126942618832, 0.285725015415
7, 3.0, 26, no_regularization, -0.0287172807006, 0.0113581311161, 2.52834558846, 0.0151191801097, 0.00975166882019, 1.55041976799
7, 3.0, 27, no_regularization, -0.0287470342313, 0.0058653618322, 4.90115274278, 0.0146306756755, 0.0101456533026, 1.44206343734
7, 3.0, 28, no_regularization, -0.0287583495996, 0.00663299318196, 4.33565191622, 0.0149620889375, 0.0159359487996, 0.938889119545
7, 3.0, 29, no_regularization, -0.0287547360591, 0.0112853845498, 2.54796244932, 0.0146434248392, 0.0189670179034, 0.772046766327
7, 3.0, 30, no_regularization, -0.0287369001064, 0.0173706555557, 1.65433595838, 0.0147639641198, 0.012328712739, 1.19752681666
7, 3.0, 26, regularization, -0.0287263546848, 0.00578935403022, 4.96192745077, 0.014559293482, 0.00538139560735, 2.70548655856
7, 3.0, 27, regularization, -0.0287453090251, 0.00565242686234, 5.0854809315, 0.0143358126507, 0.0049020513426, 2.92445175474
7, 3.0, 28, regularization, -0.028759623889, 0.00573933346195, 5.01096931893, 0.0147538253002, 0.0054339073866, 2.71514110391
7, 3.0, 29, regularization, -0.028754020312, 0.0057236718834, 5.02370172465, 0.0145476573322, 0.00483561995539, 3.0084368636
7, 3.0, 30, regularization, -0.0287425101962, 0.00578457541707, 4.96881933831, 0.014449401803, 0.00479325205963, 3.01452993151
1, 7.0, 6, no_regularization, -0.066892869908, 0.105274516829, 0.635413696713, 0.0307075997649, 0.107089384408, 0.286747374024
1, 7.0, 7, no_regularization, -0.0509603428621, 0.205936851036, 0.247456162439, 0.028775797917, 0.198587982673, 0.144902010332
1, 7.0, 8, no_regularization, -0.0664394714542, 0.0996316279752, 0.666851207838, 0.0269709492505, 0.107063797583, 0.251914744847
1, 7.0, 9, no_regularization, -0.067105639574, 0.0896991689369, 0.748118855161, 0.0296589721356, 0.0997566233412, 0.297313312563
